,tile_ID,geometry,position
119,119,"POLYGON ((-77.03894652442925 38.833628324738626, -77.03894652442925 38.84062558786984, -77.02996337158805 38.84062558786984, -77.02996337158805 38.833628324738626, -77.03894652442925 38.833628324738626))","[9,24]"
120,120,"POLYGON ((-77.03894652442925 38.84062558786984, -77.03894652442925 38.847622163000544, -77.02996337158805 38.847622163000544, -77.02996337158805 38.84062558786984, -77.03894652442925 38.84062558786984))","[9,23]"
121,121,"POLYGON ((-77.03894652442925 38.847622163000544, -77.03894652442925 38.85461805009407, -77.02996337158805 38.85461805009407, -77.02996337158805 38.847622163000544, -77.03894652442925 38.847622163000544))","[9,22]"
122,122,"POLYGON ((-77.03894652442925 38.85461805009407, -77.03894652442925 38.86161324911378, -77.02996337158805 38.86161324911378, -77.02996337158805 38.85461805009407, -77.03894652442925 38.85461805009407))","[9,21]"
123,123,"POLYGON ((-77.03894652442925 38.86161324911378, -77.03894652442925 38.868607760023096, -77.02996337158805 38.868607760023096, -77.02996337158805 38.86161324911378, -77.03894652442925 38.86161324911378))","[9,20]"
124,124,"POLYGON ((-77.03894652442925 38.868607760023096, -77.03894652442925 38.875601582785485, -77.02996337158805 38.875601582785485, -77.02996337158805 38.868607760023096, -77.03894652442925 38.868607760023096))","[9,19]"
125,125,"POLYGON ((-77.03894652442925 38.875601582785485, -77.03894652442925 38.88259471736445, -77.02996337158805 38.88259471736445, -77.02996337158805 38.875601582785485, -77.03894652442925 38.875601582785485))","[9,17]"
126,126,"POLYGON ((-77.03894652442925 38.88259471736445, -77.03894652442925 38.88958716372352, -77.02996337158805 38.88958716372352, -77.02996337158805 38.88259471736445, -77.03894652442925 38.88259471736445))","[9,16]"
127,127,"POLYGON ((-77.03894652442925 38.88958716372352, -77.03894652442925 38.89657892182632, -77.02996337158805 38.89657892182632, -77.02996337158805 38.88958716372352, -77.03894652442925 38.88958716372352))","[9,15]"
128,128,"POLYGON ((-77.03894652442925 38.89657892182632, -77.03894652442925 38.90356999163647, -77.02996337158805 38.90356999163647, -77.02996337158805 38.89657892182632, -77.03894652442925 38.89657892182632))","[9,14]"
129,129,"POLYGON ((-77.03894652442925 38.90356999163647, -77.03894652442925 38.91056037311766, -77.02996337158805 38.91056037311766, -77.02996337158805 38.90356999163647, -77.03894652442925 38.90356999163647))","[9,13]"
130,130,"POLYGON ((-77.03894652442925 38.91056037311766, -77.03894652442925 38.917550066233616, -77.02996337158805 38.917550066233616, -77.02996337158805 38.91056037311766, -77.03894652442925 38.91056037311766))","[9,12]"
131,131,"POLYGON ((-77.03894652442925 38.917550066233616, -77.03894652442925 38.92453907094813, -77.02996337158805 38.92453907094813, -77.02996337158805 38.917550066233616, -77.03894652442925 38.917550066233616))","[9,11]"
132,132,"POLYGON ((-77.03894652442925 38.92453907094813, -77.03894652442925 38.93152738722498, -77.02996337158805 38.93152738722498, -77.02996337158805 38.92453907094813, -77.03894652442925 38.92453907094813))","[9,10]"
